latitude,longitude,source_id,id,group_id,street_no,street,str_name,str_type,str_dir,unit,city,postal_code,full_addr,city_pcs,str_name_pcs,str_type_pcs,str_dir_pcs,csduid,csdname,pruid,provider
49.81235,-119.48508,,1c206fe1ded5e98e68d8,7526555,671,Thorneloe Rd,Thorneloe,Rd, ,,,,671 Thorneloe Rd,KELOWNA,THORNELOE,RD,,5935010,Kelowna,59,City of Kelowna
49.13198,-122.82729,,1c209357402b42d2855a,7063813,14259,71 Ave,71,Ave,,,SURREY,,14259 71 Ave,SURREY,71,AVE,,5915004,Surrey,59,Surrey
50.26996,-119.25171,,1c20aac1033a7a478181,7551530,1504,39 AVE,,,,,,,1504 39 AVE,VERNON,39,AVE,,5937014,Vernon,59,Vernon
49.25245,-123.1279,VAS91,1c20b969eece07296811,7139323,1004,WOLFE AV,,,,,,,1004 WOLFE AV,VANCOUVER,WOLFE,AV,,5915022,Vancouver,59,Vancouver
49.16228,-122.63998,,1c20cc3c79f421f6231b,7030304,8716,WALNUT GROVE DR,,,,,LANGLEY,,8716 WALNUT GROVE DR,LANGLEY,WALNUT GROVE,DR,,5915001,Langley,59,Township of Langley
49.15294,-122.64095,,1c20dbfdf252eb3d8156,7004597,,83 AVE,,,,,LANGLEY,,83 AVE,LANGLEY,83,AVE,,5915001,Langley,59,Township of Langley
49.05486,-122.26888,,1c20deb3e14b0836243a,6994184,34506,PEARL AVE,,,,,,,34506 PEARL AVE,ABBOTSFORD,PEARL,AVE,,5909052,Abbotsford,59,City of Abbotsford
49.06386,-122.46642,,1c20e32c3f44ea2a87f5,7021055,27344,34 AVE,,,,,LANGLEY,,27344 34 AVE,LANGLEY,34,AVE,,5915001,Langley,59,Township of Langley
49.19647,-122.76193,,1c20e872462cf1cdc0bc,7037154,10667,Arbutus Wynd,Arbutus,Wynd,,,SURREY,,10667 Arbutus Wynd,SURREY,ARBUTUS,WYND,,5915004,Surrey,59,Surrey
49.25033,-122.86706,,1c20f030fe4a8859e655,7279012,1016,Howie Ave,Howie,Ave,,123,,V3J 1T4,1016 Howie Ave 123,COQUITLAM,HOWIE,AVE,,5915034,Coquitlam,59,Coquitlam
48.42144,-123.35132,,1c210c09f7229d53c5fe,7370674,1171,ROCKLAND AVE,,,,8,,,8 1171 ROCKLAND AVE,VICTORIA,ROCKLAND,AVE,,5917034,Victoria,59,City of Victoria
49.25082,-123.11353,13374281,1c211a9ad6adccb8fc5a,7200727,436,W 22ND AV,,,,,,,436 W 22ND AV,VANCOUVER,22,AV,W,5915022,Vancouver,59,Vancouver
49.10428,-122.71317,,1c211d3574f46794c0e9,7092878,18391,No 10 (56 Ave) Hwy,No 10 (56 Ave),Hwy,,,SURREY,,18391 Highway 10 (56 Ave),SURREY,10,HWY,NW,5915004,Surrey,59,Surrey
49.06538,-122.83463,,1c211e10187165860415,7103775,3501,140 St,140,St,,,SURREY,,3501 140 St,SURREY,140,ST,,5915004,Surrey,59,Surrey
49.24171,-123.19287,13899414,1c212a71eada3b442eaa,7196560,3971,W 34TH AV,,,,,,,3971 W 34TH AV,VANCOUVER,34,AV,W,5915022,Vancouver,59,Vancouver
49.21755,-122.56773,,1c213724e40481f8fce8,7318013,11850,236 ST,,,,,,,11850 236 ST,MAPLE RIDGE,236,ST,,5915075,Maple Ridge,59,Maple Ridge
49.20983,-123.98838,,1c2146330bd498e74c46,7411301,3561,DEPARTURE BAY ROAD,,,,,,V9T 1C3,3561 DEPARTURE BAY ROAD,NANAIMO,DEPARTURE BAY,RD,,5921007,Nanaimo,59,Nanaimo
49.21763,-122.99621,,1c21628be98efaf374cd,7259893,7287,JUBILEE AV,JUBILEE,AV,,,,,7287 JUBILEE AV,BURNABY,JUBILEE,AV,,5915025,Burnaby,59,Burnaby
49.03419,-122.75916,,1c2163077a217083433a,7085969,16729,17B Ave,17B,Ave,,,SURREY,,16729 17B Ave,SURREY,17B,AVE,,5915004,Surrey,59,Surrey
49.11624,-122.84562,,1c2165507df638103a35,7111328,6245,136 St,136,St,,,SURREY,,6245 136 St,SURREY,136,ST,,5915004,Surrey,59,Surrey
49.90576,-119.45072,,1c21658a959150ba84c0,7517821,425 595,Yates Rd,Yates,Rd, ,,,,425 595 Yates Rd,KELOWNA,YATES,RD,,5935010,Kelowna,59,City of Kelowna
49.10924,-122.81126,,1c2176a93df8bebacd0f,7106803,5849,148A St,148A,St,,,SURREY,,5849 148A St,SURREY,148A,ST,,5915004,Surrey,59,Surrey
49.21637,-123.98381,,1c21a26a3537e244e912,7412315,3760,ELWORTHY PLACE,,,,,,V9T 5W3,3760 ELWORTHY PLACE,NANAIMO,ELWORTHY,PL,,5921007,Nanaimo,59,Nanaimo
49.20456,-122.90872,,1c21ad41ce0219c748ca,7276198,527,CARNARVON ST,,,,1105,NEW WESTMINSTER,V3L 0J1,1105 527 CARNARVON ST,NEW WESTMINSTER,CARNARVON,ST,,5915029,New Westminster,59,City of New Westminster
48.92927,-123.72712,12374512,1c21b035d7d921a624f2,7396659,9968,DANIEL ST,,,,,NORTH_COWICHAN_MUNICIPALITY,,9968 DANIEL ST,NORTH_COWICHAN_MUNICIPALITY,DANIEL,ST,,5919008,North Cowichan,59,Municipality of North Cowichan
53.89859,-122.63264,,1c21b7a81799da026c1e,7583788,2145,Bittner Rd E,Bittner,Rd,E,,CPG,,2145 Bittner Rd,CPG,BITTNER,RD,E,5953023,Prince George,59,City of Prince George
49.23458,-123.01859,,1c21d3592cc31f59bded,7237817,3866,THURSTON ST,THURSTON,ST,,,,,3866 THURSTON ST,BURNABY,THURSTON,ST,,5915025,Burnaby,59,Burnaby
48.44265,-123.37753,,1c21e55a75818d042f9a,7381780,356,GORGE RD E,,,,406,,,406 356 GORGE RD E,VICTORIA,GORGE,RD,E,5917034,Victoria,59,City of Victoria
49.23311,-123.18251,12765660,1c21e76363e3dc730ad7,7189429,3515,W 43RD AV,,,,,,,3515 W 43RD AV,VANCOUVER,43,AV,W,5915022,Vancouver,59,Vancouver
49.70492,-124.9632,,1c220c8a609d4dd9fb5c,7428379,1024,Elkhorn Avenue,,,,,,,1024 Elkhorn Avenue,COURTENAY,ELKHORN,AVE,,5926010,Courtenay,59,City of Courtenay
49.29565,-122.79015,,1c222bd1bc3c27a3473a,7293550,2958,Whisper Way,Whisper,Way,,108,,V3E 3S7,2958 Whisper Way 108,COQUITLAM,WHISPER,WAY,,5915034,Coquitlam,59,Coquitlam
48.41614,-123.38186,,1c225593211175216dea,7384566,70,PILOT ST,,,,,,,70 PILOT ST,VICTORIA,PILOT,ST,,5917034,Victoria,59,City of Victoria
49.27923,-123.1284,VAS780,1c22748b5b6a63853376,7142251,1160,BURRARD ST,,,,,,,1160 BURRARD ST,VANCOUVER,BURRARD,ST,,5915022,Vancouver,59,Vancouver
48.43291,-123.365,,1c228b6eb9d7e38c9e9f,7377056,2100,DOUGLAS ST,,,,,,,2100 DOUGLAS ST,VICTORIA,DOUGLAS,ST,,5917034,Victoria,59,City of Victoria
49.07463,-122.09865,,1c22ac05dfd1dbcba9cb,7002373,40654,NO.4 RD,,,,,,,40654 NO.4 RD,ABBOTSFORD,NO4,RD,,5909052,Abbotsford,59,City of Abbotsford
49.74497,-123.13614,,1c22c06d92453188430f,7459786,40632,GOVERNMENT RD,,,,20,SQUAMISH,,"20, 40632 GOVERNMENT RD",SQUAMISH,GOVERNMENT,RD,,5931006,Squamish,59,Squamish
49.2375,-123.03467,13986830,1c22f761694cbbeca91d,7186462,3376,AUSTREY AV,,,,,,,3376 AUSTREY AV,VANCOUVER,AUSTREY,AV,,5915022,Vancouver,59,Vancouver
51.49021,-117.16299,adn00009,1c231935c57234ce5880,7564419,2779,Dejordie Rd,,,,26,,,26 2779 Dejordie Rd,COLUMBIA-SHUSWAP,DEJORDIE,RD,,5939011,Columbia-Shuswap A,59,Columbia-Shuswap
49.1008,-122.53403,,1c2319889eba26465407,7017576,24903,54 AVE,,,,,LANGLEY,,24903 54 AVE,LANGLEY,54,AVE,,5915001,Langley,59,Township of Langley
49.23349,-123.06511,3499863,1c2323cba83e4ef122b2,7212388,5632,VICTORIA DRIVE,,,,,,,5632 VICTORIA DRIVE,VANCOUVER,VICTORIA DRIVE,,,5915022,Vancouver,59,Vancouver
49.96859,-119.36443,16379,1c233ebc52bf40a0d5fc,7518919,4450,POSTILL DR,POSTILL,DR,,,,,4450 POSTILL DR,CENTRAL-OKANAGAN-REGIONAL-DISTRICT,POSTILL,DR,,5935010,Kelowna,59,Regional District of Central Okanagan
49.13113,-122.58705,,1c235555af5b96befe80,7015578,23011,70A AVE,,,,,LANGLEY,,23011 70A AVE,LANGLEY,70A,AVE,,5915001,Langley,59,Township of Langley
